Statement Number,Speaker,Number of non-stop words,Number of positive words,Number of negative words,Number of Lancaster stemmed positive words,Number of Lancaster stemmed negative words,Number of Porter stemmed positive words,Number of Porter stemmed negative words,Number of Snowball stemmed positive words,Number of Snowball stemmed negative words
146,LEHRER,3,0,0,1,0,0,0,0,0
147,OBAMA,125,13,2,35,17,24,3,24,3
148,LEHRER,6,0,0,1,1,1,0,1,0
149,ROMNEY,158,19,1,62,28,31,9,32,9
150,LEHRER,21,1,3,7,6,3,4,3,4
151,OBAMA,4,1,0,1,0,1,0,1,0
152,LEHRER,46,2,2,11,16,6,5,6,5
153,ROMNEY,34,1,0,12,8,6,2,6,2
154,LEHRER,3,0,0,0,0,0,0,0,0
155,ROMNEY,62,8,2,22,24,12,6,11,6
156,LEHRER,2,1,0,2,0,1,0,1,0
157,ROMNEY,22,2,2,11,6,6,2,6,2
158,LEHRER,3,0,0,0,0,0,0,0,0
159,OBAMA,136,14,9,51,34,24,17,24,18
160,LEHRER,2,1,0,2,0,1,0,1,0
161,OBAMA,23,2,1,7,8,3,1,3,1
162,LEHRER,18,0,0,6,3,2,2,2,2
163,OBAMA,185,30,6,68,40,44,14,45,14
164,LEHRER,6,0,0,1,1,1,1,1,1
165,ROMNEY,199,18,6,67,45,41,14,41,15
166,LEHRER,25,2,1,8,5,7,2,7,2
